Sample ID,Depth,pH,H2S,Fe2,Fetot,NH4,Ca,Mg,Cl,NO2,NO3,SO4.IC,PO4,Lactate,Acetate,Propionate,Formate,Butyrate,month,SO4(uM),Acetate(uM),Lactate(uM),Propionate(uM),Butyrate(uM),Formate(uM),NH4(uM),Fe2(uM),Fetot(uM),Ca(uM),Mg(uM),Cl(uM),NO2(uM),NO3(uM),PO4(uM),Depth_group
9,-6,7.68,2.532526475037821,2.14,3.44,480.33,137.7,34.23,16.10723515548979,0.0,0.0,39.5577082183515,1.4670141948337385,0.0,0.0,0.0,0.3386605086657477,0.27428663615384963,Feb,411.80208430513744,0.0,0.0,0.0,3.113002339732716,7.522947079231128,34.292874124526115,38.320350971438806,61.599068851284805,3435.8001896302203,1408.3521909072206,454.3264365636134,0.0,0.0,15.446905013864578,Top
10,-9,7.65,7.407295343755252,1.17,1.21,377.53,137.59,34.52,19.378251668252474,0.0,0.0,43.51116413425314,1.321336382414045,0.0,0.0,0.0,0.33106694700543376,0.0,Feb,452.95819419376573,0.0,0.0,0.0,0.0,7.35426498890272,26.95352938236701,20.950846091861404,21.667114334318203,3433.055541693697,1420.2838922032506,546.5898984078209,0.0,0.0,13.912992568436866,Top
11,-9,7.7,16.65254664649521,1.43,1.93,500.87000000000006,138.96,34.69,16.453866789696278,0.0,0.0,38.4928091998778,1.285726250489231,0.0,0.0,0.0,0.3265110224900441,0.0,Feb,400.71631480197584,0.0,0.0,0.0,0.0,7.253060454718086,35.75931518487581,25.6065896678306,34.5599426985406,3467.238884175857,1427.278337790578,464.1036524326933,0.0,0.0,13.538036192887871,Top
12,-9,7.71,9.172297865187424,1.19,2.19,402.58,140.05,34.37,16.100077570122696,0.0,0.0,41.352070388406894,1.1788958547147892,0.0,0.0,0.0,0.36296288070993493,0.0,Feb,430.481682161221,0.0,0.0,0.0,0.0,8.062795848455803,28.741959205237492,21.3089802130898,39.21568627450981,3494.43585009232,1414.1123225673728,454.1245471503877,0.0,0.0,12.41316706624088,Top
13,-12,7.74,10.012775256345604,0.64,1.19,372.1,140.49,34.93,16.10723515548979,0.0,0.0,40.75150835598019,1.162709431112601,0.0,0.0,0.0,0.3173996515410621,0.0,Feb,424.2297351236747,0.0,0.0,0.0,0.0,7.050662006376748,26.56585776806814,11.460291879308802,21.3089802130898,3505.4144418384153,1437.152849207982,454.3264365636134,0.0,0.0,12.242732350082246,Top
14,-12,7.78,31.94923516557405,1.19,1.52,565.63,134.99,34.37,16.062244618896617,0.0,0.0,36.33225066858661,1.276014396327918,0.0,0.0,0.0,0.36296288070993493,0.0,Feb,378.22455411812,0.0,0.0,0.0,0.0,8.062795848455803,40.38281679481962,21.3089802130898,27.2181932133584,3368.182045012226,1414.1123225673728,453.05741739476537,0.0,0.0,13.435775363192686,Top
15,-12,7.78,29.259707513867877,0.61,0.97,452.19,138.95,35.21,16.078604814021407,0.0,0.0,40.75150835598019,1.1950822783169772,0.0,0.0,0.0,0.3553679025109626,0.0,Feb,424.2297351236747,0.0,0.0,0.0,0.0,7.894082291377981,32.28383559296622,10.9230906974662,17.369504879577402,3466.9893707270817,1448.6731125282863,453.51887891071016,0.0,0.0,12.583601782399514,Top
16,-15,7.8,37.832576903681286,0.56,0.98,374.34,141.16,35.39,16.090874960365,0.0,0.0,35.81371662107672,1.25982797272573,0.36535555302358863,0.0,0.0,0.35081112807237796,0.0,Feb,372.8265315539946,0.0,4.055900899462573,0.0,0.0,7.792858877143701,26.725781233266932,10.027755394395202,17.5485719401916,3522.131842906332,1456.0789960913391,453.8649750476687,0.0,0.0,13.265340647034053,Top
17,-15,7.81,32.621617078500584,1.46,2.62,610.01,131.27,37.25,15.956925862780782,0.0,0.0,32.64099134732979,1.4411159170702375,0.38703763195536134,0.0,0.0,0.3371417609202184,0.0,Feb,339.7979528141764,0.0,4.296598933785095,0.0,0.0,7.4892098744967095,43.5513004490708,26.143790849673202,46.91556988092041,3275.3630420679674,1532.606459576219,450.0867588858709,0.0,0.0,15.174209468010764,Top
18,-15,7.81,49.851403597243234,0.93,1.25,512.35,133.79,34.81,16.048951960357726,0.0,0.0,37.861486673107294,1.2404042644031041,0.0,0.0,0.0,0.3280296462884408,0.0,Feb,394.1441460868966,0.0,0.0,0.0,0.0,7.28679490611193,36.578922944019645,16.6532366371206,22.383382576775002,3338.240431159239,1432.2155934992802,452.68247991306026,0.0,0.0,13.06081898764369,Top
